2025-10-12 13:11:08 | INFO     | KafkaProducer | Logging initialized. Log file: /app/logs/kafka_producer_2025-10-12_13-11-08.log
2025-10-12 13:11:08 | INFO     | KafkaProducer | ================================================================================
2025-10-12 13:11:08 | INFO     | KafkaProducer | OHLCV Data Streaming: MongoDB (Host) → Kafka (Docker)
2025-10-12 13:11:08 | INFO     | KafkaProducer | ================================================================================
2025-10-12 13:11:08 | INFO     | KafkaProducer | Prefetch all data: True
2025-10-12 13:11:08 | INFO     | KafkaProducer | Delay between records: 1.0s
2025-10-12 13:11:08 | INFO     | KafkaProducer | Connecting to MongoDB on host machine...
2025-10-12 13:11:08 | INFO     | KafkaProducer | URI: mongodb://host.docker.internal:27017/
2025-10-12 13:11:08 | INFO     | KafkaProducer | Database: ohlcv_data
2025-10-12 13:11:08 | INFO     | KafkaProducer | Collection: ohlcv_data
2025-10-12 13:11:08 | INFO     | KafkaProducer | Attempt 1/10...
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Connected to MongoDB successfully
2025-10-12 13:11:08 | INFO     | KafkaProducer | Total documents in collection: 0
2025-10-12 13:11:08 | INFO     | KafkaProducer | Waiting for Kafka to be ready...
2025-10-12 13:11:08 | INFO     | KafkaProducer | Attempt 1/10: Connecting to Kafka...
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Kafka is ready! Found 1 topics
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Topic 'ohlcv-stream' already exists
2025-10-12 13:11:08 | INFO     | KafkaProducer | Initializing Kafka producer...
2025-10-12 13:11:08 | INFO     | KafkaProducer | Bootstrap servers: kafka:29092
2025-10-12 13:11:08 | INFO     | KafkaProducer | Target topic: ohlcv-stream
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Kafka producer initialized successfully
2025-10-12 13:11:08 | INFO     | KafkaProducer | --------------------------------------------------------------------------------
2025-10-12 13:11:08 | INFO     | KafkaProducer | Starting data streaming...
2025-10-12 13:11:08 | INFO     | KafkaProducer | --------------------------------------------------------------------------------
2025-10-12 13:11:08 | INFO     | KafkaProducer | Fetching all documents from MongoDB...
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Loaded 0 documents into memory
2025-10-12 13:11:08 | WARNING  | KafkaProducer | No documents to process
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ All documents processed successfully
2025-10-12 13:11:08 | INFO     | KafkaProducer | --------------------------------------------------------------------------------
2025-10-12 13:11:08 | INFO     | KafkaProducer | Cleaning up resources...
2025-10-12 13:11:08 | INFO     | KafkaProducer | Flushing remaining messages...
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ All messages flushed successfully
2025-10-12 13:11:08 | INFO     | KafkaProducer | Kafka producer closed
2025-10-12 13:11:08 | INFO     | KafkaProducer | MongoDB connection closed
2025-10-12 13:11:08 | INFO     | KafkaProducer | ================================================================================
2025-10-12 13:11:08 | INFO     | KafkaProducer | EXECUTION SUMMARY
2025-10-12 13:11:08 | INFO     | KafkaProducer | ================================================================================
2025-10-12 13:11:08 | INFO     | KafkaProducer | Total documents processed: 0
2025-10-12 13:11:08 | INFO     | KafkaProducer | Messages delivered: 0
2025-10-12 13:11:08 | INFO     | KafkaProducer | Messages failed: 0
2025-10-12 13:11:08 | INFO     | KafkaProducer | Total time: 0.00 seconds
2025-10-12 13:11:08 | INFO     | KafkaProducer | Average rate: 0.00 docs/sec
2025-10-12 13:11:08 | INFO     | KafkaProducer | ================================================================================
2025-10-12 13:11:08 | INFO     | KafkaProducer | ✓ Cleanup completed
